Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
C,C,CC,CC1,7,NA,0.00894,EG
C,C,CC,CC1,8,NA,0.00919,EG
C,C,CC,CC1,9,NA,0.00943,EG
C,C,CC,CC1,10,NA,0.00884,EG
C,C,CC,CC1,11,NA,0.0077,EG
C,C,CC,CC1,12,NA,0.00927,EG
C,C,CC,CC1,13,NA,0.00964,EG
C,C,CC,CC1,14,NA,0.00914,EG
C,C,CC,CC1,15,NA,0.00948,EG
C,C,CC,CC1,16,NA,0.00888,EG
C,C,CC,CC1,17,NA,0.00859,EG
C,C,CC,CC1,18,NA,0.00901,EG
C,C,CC,CC1,19,NA,0.00964,EG
C,C,CC,CC1,20,NA,0.00771,EG
C,C,CC,CC1,21,NA,0.00954,EG
C,C,CC,CC1,22,NA,0.00904,EG
C,C,CC,CC1,23,NA,0.00767,EG
C,C,CC,CC1,24,NA,0.00936,EG
C,C,CC,CC1,25,NA,0.00943,EG
C,C,CC,CC1,26,NA,0.00918,EG
C,C,CC,CC1,27,NA,0.00873,EG
C,C,CC,CC1,28,NA,0.00938,EG
C,C,CC,CC1,29,NA,0.01014,EG
C,C,CC,CC1,30,NA,0.00895,EG
C,C,CC,CC1,31,NA,0.00968,EG
C,C,CC,CC1,32,NA,0.00999,EG
C,C,CC,CC1,33,NA,0.00922,EG
C,C,CC,CC1,34,NA,0.00911,EG
C,C,CC,CC1,35,NA,0.0095,EG
C,C,CC,CC2,1,NA,0.00974,EG
C,C,CC,CC2,2,NA,0.00957,EG
C,C,CC,CC2,3,NA,0.00934,EG
C,C,CC,CC2,4,NA,0.00826,EG
C,C,CC,CC2,5,NA,0.00944,EG
C,C,CC,CC2,6,NA,0.00808,EG
C,C,CC,CC2,7,NA,0.00942,EG
C,C,CC,CC2,8,NA,0.00775,EG
C,C,CC,CC2,9,NA,0.00973,EG
C,C,CC,CC2,10,NA,0.00907,EG
C,C,CC,CC2,11,NA,0.00739,EG
C,C,CC,CC2,12,NA,0.00945,EG
C,C,CC,CC2,13,NA,0.00791,EG
C,C,CC,CC2,14,NA,0.00893,EG
C,C,CC,CC2,15,NA,0.01009,EG
C,C,CC,CC2,16,NA,0.00884,EG
C,C,CC,CC2,17,NA,0.00968,EG
C,C,CC,CC2,18,NA,0.00958,EG
C,C,CC,CC2,19,NA,0.0094,EG
C,C,CC,CC2,20,NA,0.00901,EG
